Format Version,1.1,Take Name,bp,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-06-08 05.36.52.507 PM,Total Frames,81,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10068,Marker_10068,Marker_10068
,,"8392B20CF49E35702754","8392B20CF49E35702754","8392B20CF49E35702754"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.339346,0.435566,-2.156702
1,0.008333,0.339445,0.435495,-2.156736
2,0.016667,0.339313,0.435598,-2.156691
3,0.025000,0.335354,0.438549,-2.154321
4,0.033333,0.335278,0.438610,-2.154247
5,0.041667,0.339454,0.435484,-2.156743
6,0.050000,0.339358,0.435556,-2.156726
7,0.058333,0.339356,0.435566,-2.156699
8,0.066667,0.339371,0.435550,-2.156709
9,0.075000,0.335300,0.438542,-2.154284
10,0.083333,0.339375,0.435569,-2.156724
11,0.091667,0.339362,0.435577,-2.156722
12,0.100000,0.339339,0.435590,-2.156698
13,0.108333,0.335322,0.438554,-2.154299
14,0.116667,0.339358,0.435555,-2.156710
15,0.125000,0.339391,0.435558,-2.156726
16,0.133333,0.335376,0.438502,-2.154331
17,0.141667,0.339431,0.435502,-2.156724
18,0.150000,0.339410,0.435546,-2.156727
19,0.158333,0.339404,0.435539,-2.156728
20,0.166667,0.335271,0.438606,-2.154236
21,0.175000,0.335291,0.438590,-2.154292
22,0.183333,0.335345,0.438542,-2.154314
23,0.191667,0.335324,0.438552,-2.154300
24,0.200000,0.335245,0.438611,-2.154220
25,0.208333,0.339412,0.435522,-2.156720
26,0.216667,0.339426,0.435508,-2.156707
27,0.225000,0.339391,0.435528,-2.156711
28,0.233333,0.335410,0.438503,-2.154335
29,0.241667,0.335252,0.438634,-2.154248
30,0.250000,0.339423,0.435518,-2.156723
31,0.258333,0.335374,0.438526,-2.154303
32,0.266667,0.335267,0.438608,-2.154241
33,0.275000,0.339475,0.435500,-2.156732
34,0.283333,0.339396,0.435537,-2.156713
35,0.291667,0.335317,0.438581,-2.154290
36,0.300000,0.335341,0.438554,-2.154284
37,0.308333,0.335360,0.438541,-2.154323
38,0.316667,0.335350,0.438512,-2.154289
39,0.325000,0.339467,0.435527,-2.156754
40,0.333333,0.339365,0.435576,-2.156724
41,0.341667,0.339453,0.435489,-2.156719
42,0.350000,0.339427,0.435520,-2.156733
43,0.358333,0.339373,0.435541,-2.156711
44,0.366667,0.335434,0.438526,-2.154364
45,0.375000,0.339376,0.435573,-2.156687
46,0.383333,0.335321,0.438566,-2.154287
47,0.391667,0.339389,0.435551,-2.156707
48,0.400000,0.339414,0.435519,-2.156735
49,0.408333,0.335383,0.438502,-2.154347
50,0.416667,0.339417,0.435534,-2.156722
51,0.425000,0.335291,0.438568,-2.154301
52,0.433333,0.335217,0.438606,-2.154239
53,0.441667,0.335290,0.438599,-2.154267
54,0.450000,0.339403,0.435506,-2.156726
55,0.458333,0.335311,0.438569,-2.154306
56,0.466667,0.335344,0.438523,-2.154283
57,0.475000,0.339401,0.435535,-2.156714
58,0.483333,0.339405,0.435534,-2.156732
59,0.491667,0.339312,0.435600,-2.156698
60,0.500000,0.339315,0.435572,-2.156703
61,0.508333,0.339435,0.435523,-2.156745
62,0.516667,0.339370,0.435577,-2.156709
63,0.525000,0.339336,0.435572,-2.156688
64,0.533333,0.339344,0.435570,-2.156725
65,0.541667,0.335284,0.438590,-2.154279
66,0.550000,0.339335,0.435601,-2.156702
67,0.558333,0.339410,0.435542,-2.156734
68,0.566667,0.339327,0.435573,-2.156713
69,0.575000,0.339321,0.435575,-2.156710
70,0.583333,0.339425,0.435496,-2.156732
71,0.591667,0.339413,0.435533,-2.156725
72,0.600000,0.339305,0.435591,-2.156701
73,0.608333,0.335307,0.438540,-2.154294
74,0.616667,0.339362,0.435538,-2.156731
75,0.625000,0.339328,0.435562,-2.156697
76,0.633333,0.335310,0.438550,-2.154294
77,0.641667,0.335269,0.438586,-2.154275
78,0.650000,0.339360,0.435571,-2.156706
79,0.658333,0.339381,0.435554,-2.156708
80,0.666667,0.339370,0.435571,-2.156720
