Format Version,1.1,Take Name,gp,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-06-08 05.32.05.016 PM,Total Frames,108,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10032,Marker_10032,Marker_10032
,,"8392B20CF49E35702730","8392B20CF49E35702730","8392B20CF49E35702730"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.294166,0.437297,-2.163986
1,0.008333,0.294486,0.436460,-2.164072
2,0.016667,0.294136,0.437322,-2.163994
3,0.025000,0.294151,0.437298,-2.164001
4,0.033333,0.294148,0.437340,-2.163990
5,0.041667,0.294103,0.437346,-2.163967
6,0.050000,0.294137,0.437333,-2.163978
7,0.058333,0.293581,0.437793,-2.163923
8,0.066667,0.293581,0.437825,-2.163908
9,0.075000,0.294139,0.437334,-2.163987
10,0.083333,0.294134,0.437330,-2.163981
11,0.091667,0.294185,0.437264,-2.164000
12,0.100000,0.294133,0.437322,-2.163987
13,0.108333,0.294209,0.437242,-2.163995
14,0.116667,0.294220,0.437234,-2.164008
15,0.125000,0.294446,0.436474,-2.164082
16,0.133333,0.293503,0.437846,-2.163890
17,0.141667,0.294194,0.437294,-2.164002
18,0.150000,0.294170,0.437326,-2.163991
19,0.158333,0.294493,0.436438,-2.164083
20,0.166667,0.294373,0.436500,-2.164037
21,0.175000,0.294172,0.437277,-2.163994
22,0.183333,0.294138,0.437349,-2.163984
23,0.191667,0.294412,0.436522,-2.164054
24,0.200000,0.294186,0.437293,-2.164006
25,0.208333,0.294085,0.437340,-2.163991
26,0.216667,0.294146,0.437313,-2.163984
27,0.225000,0.294140,0.437313,-2.163982
28,0.233333,0.294136,0.437341,-2.163984
29,0.241667,0.293746,0.437142,-2.163981
30,0.250000,0.294146,0.437326,-2.163990
31,0.258333,0.294193,0.437280,-2.163998
32,0.266667,0.294196,0.437274,-2.163997
33,0.275000,0.294228,0.437280,-2.164005
34,0.283333,0.294144,0.437302,-2.163982
35,0.291667,0.294142,0.437331,-2.163980
36,0.300000,0.294402,0.436503,-2.164052
37,0.308333,0.294189,0.437300,-2.163993
38,0.316667,0.294159,0.437311,-2.164004
39,0.325000,0.294219,0.437276,-2.163995
40,0.333333,0.294198,0.437256,-2.164002
41,0.341667,0.294130,0.437329,-2.163971
42,0.350000,0.293620,0.437783,-2.163926
43,0.358333,0.294382,0.436532,-2.164052
44,0.366667,0.294118,0.437325,-2.163981
45,0.375000,0.294130,0.437337,-2.163987
46,0.383333,0.294157,0.437334,-2.163986
47,0.391667,0.294168,0.437331,-2.164000
48,0.400000,0.294157,0.437326,-2.163998
49,0.408333,0.294159,0.437314,-2.164007
50,0.416667,0.294229,0.437255,-2.164023
51,0.425000,0.294153,0.437356,-2.163992
52,0.433333,0.294118,0.437349,-2.163971
53,0.441667,0.294157,0.437300,-2.163983
54,0.450000,0.293682,0.437200,-2.163970
55,0.458333,0.294206,0.437279,-2.163992
56,0.466667,0.294181,0.437258,-2.163999
57,0.475000,0.294179,0.437302,-2.163996
58,0.483333,0.294176,0.437277,-2.164038
59,0.491667,0.294484,0.436449,-2.164068
60,0.500000,0.294090,0.437354,-2.163987
61,0.508333,0.294143,0.437320,-2.163977
62,0.516667,0.294199,0.437287,-2.163999
63,0.525000,0.294187,0.437276,-2.163985
64,0.533333,0.294169,0.437326,-2.163979
65,0.541667,0.293595,0.437802,-2.163903
66,0.550000,0.294273,0.437244,-2.164003
67,0.558333,0.294185,0.437295,-2.163996
68,0.566667,0.294165,0.437312,-2.164001
69,0.575000,0.294195,0.437319,-2.163979
70,0.583333,0.294154,0.437321,-2.163980
71,0.591667,0.294236,0.437273,-2.164016
72,0.600000,0.294138,0.437324,-2.163993
73,0.608333,0.294201,0.437282,-2.163999
74,0.616667,0.293607,0.437784,-2.163931
75,0.625000,0.294094,0.437358,-2.163980
76,0.633333,0.294204,0.437317,-2.164005
77,0.641667,0.294172,0.437323,-2.163991
78,0.650000,0.294186,0.437314,-2.163993
79,0.658333,0.293570,0.437808,-2.163926
80,0.666667,0.294138,0.437349,-2.163970
81,0.675000,0.294166,0.437326,-2.163995
82,0.683333,0.294177,0.437324,-2.164008
83,0.691667,0.294113,0.437336,-2.163987
84,0.700000,0.294129,0.437330,-2.163983
85,0.708333,0.294124,0.437347,-2.163984
86,0.716667,0.294141,0.437330,-2.163988
87,0.725000,0.294413,0.436514,-2.164064
88,0.733333,0.294167,0.437307,-2.163973
89,0.741667,0.294138,0.437334,-2.163991
90,0.750000,0.294187,0.437289,-2.164003
91,0.758333,0.294184,0.437266,-2.163988
92,0.766667,0.294409,0.436520,-2.164048
93,0.775000,0.294443,0.436469,-2.164054
94,0.783333,0.294393,0.436524,-2.164052
95,0.791667,0.294173,0.437295,-2.163994
96,0.800000,0.294191,0.437295,-2.163986
97,0.808333,0.294176,0.437313,-2.163984
98,0.816667,0.294147,0.437324,-2.164005
99,0.825000,0.294132,0.437352,-2.163970
100,0.833333,0.294197,0.437280,-2.163980
101,0.841667,0.294513,0.436407,-2.164088
102,0.850000,0.294198,0.437304,-2.163986
103,0.858333,0.294204,0.437298,-2.163998
104,0.866667,0.294174,0.437316,-2.163983
105,0.875000,0.294225,0.437257,-2.164003
106,0.883333,0.294145,0.437333,-2.163970
107,0.891667,0.294197,0.437287,-2.163987
