Format Version,1.1,Take Name,pb,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-06-08 05.38.22.118 PM,Total Frames,54,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10072,Marker_10072,Marker_10072
,,"8392B20CF49E35702758","8392B20CF49E35702758","8392B20CF49E35702758"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.316858,0.437302,-2.173350
1,0.008333,0.316846,0.437295,-2.173346
2,0.016667,0.316780,0.437368,-2.173316
3,0.025000,0.316873,0.437284,-2.173335
4,0.033333,0.316809,0.437381,-2.173318
5,0.041667,0.316794,0.437358,-2.173314
6,0.050000,0.316848,0.437318,-2.173323
7,0.058333,0.316923,0.437271,-2.173361
8,0.066667,0.316860,0.437319,-2.173340
9,0.075000,0.316867,0.437357,-2.173341
10,0.083333,0.316844,0.437350,-2.173351
11,0.091667,0.316846,0.437334,-2.173343
12,0.100000,0.316878,0.437311,-2.173322
13,0.108333,0.316845,0.437343,-2.173345
14,0.116667,0.316891,0.437288,-2.173332
15,0.125000,0.316860,0.437338,-2.173317
16,0.133333,0.316867,0.437323,-2.173344
17,0.141667,0.316840,0.437343,-2.173332
18,0.150000,0.316867,0.437340,-2.173316
19,0.158333,0.316914,0.437281,-2.173342
20,0.166667,0.316873,0.437324,-2.173344
21,0.175000,0.316866,0.437357,-2.173339
22,0.183333,0.316610,0.437484,-2.173178
23,0.191667,0.316818,0.437371,-2.173342
24,0.200000,0.316869,0.437321,-2.173335
25,0.208333,0.316799,0.437369,-2.173326
26,0.216667,0.316898,0.437282,-2.173353
27,0.225000,0.316810,0.437339,-2.173332
28,0.233333,0.316827,0.437356,-2.173329
29,0.241667,0.316864,0.437322,-2.173344
30,0.250000,0.316846,0.437337,-2.173327
31,0.258333,0.316795,0.437383,-2.173333
32,0.266667,0.316874,0.437321,-2.173341
33,0.275000,0.316610,0.437478,-2.173179
34,0.283333,0.316877,0.437332,-2.173357
35,0.291667,0.316844,0.437343,-2.173334
36,0.300000,0.316830,0.437350,-2.173349
37,0.308333,0.316846,0.437335,-2.173329
38,0.316667,0.316858,0.437333,-2.173331
39,0.325000,0.316809,0.437343,-2.173329
40,0.333333,0.316865,0.437309,-2.173332
41,0.341667,0.316873,0.437320,-2.173329
42,0.350000,0.316703,0.437409,-2.173211
43,0.358333,0.316816,0.437334,-2.173306
44,0.366667,0.316795,0.437372,-2.173324
45,0.375000,0.316840,0.437348,-2.173324
46,0.383333,0.316862,0.437232,-2.173402
47,0.391667,0.316881,0.437301,-2.173339
48,0.400000,0.316857,0.437320,-2.173353
49,0.408333,0.316868,0.437340,-2.173350
50,0.416667,0.316823,0.437343,-2.173333
51,0.425000,0.316852,0.437357,-2.173318
52,0.433333,0.316813,0.437359,-2.173330
53,0.441667,0.316842,0.437330,-2.173334
