Format Version,1.1,Take Name,pg,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2018-06-08 05.35.59.724 PM,Total Frames,69,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10059,Marker_10059,Marker_10059
,,"8392B20CF49E3570274B","8392B20CF49E3570274B","8392B20CF49E3570274B"
,,Position,Position,Position
Frame,Time,X,Y,Z
0,0.000000,0.345524,0.438344,-2.143182
1,0.008333,0.345506,0.438402,-2.143157
2,0.016667,0.345590,0.438319,-2.143179
3,0.025000,0.345562,0.438357,-2.143164
4,0.033333,0.345528,0.438381,-2.143180
5,0.041667,0.345547,0.438368,-2.143151
6,0.050000,0.345528,0.438356,-2.143163
7,0.058333,0.345602,0.438317,-2.143192
8,0.066667,0.345482,0.438409,-2.143167
9,0.075000,0.345574,0.438347,-2.143174
10,0.083333,0.345574,0.438349,-2.143166
11,0.091667,0.345535,0.438380,-2.143170
12,0.100000,0.345568,0.438352,-2.143159
13,0.108333,0.345548,0.438355,-2.143169
14,0.116667,0.345583,0.438350,-2.143176
15,0.125000,0.345550,0.438385,-2.143170
16,0.133333,0.345556,0.438352,-2.143173
17,0.141667,0.345584,0.438328,-2.143176
18,0.150000,0.346102,0.438046,-2.143209
19,0.158333,0.345510,0.438398,-2.143160
20,0.166667,0.345588,0.438333,-2.143167
21,0.175000,0.345585,0.438347,-2.143190
22,0.183333,0.345537,0.438388,-2.143150
23,0.191667,0.345548,0.438352,-2.143162
24,0.200000,0.345631,0.438296,-2.143182
25,0.208333,0.345548,0.438342,-2.143164
26,0.216667,0.345589,0.438356,-2.143179
27,0.225000,0.345611,0.438300,-2.143183
28,0.233333,0.345569,0.438337,-2.143186
29,0.241667,0.345510,0.438374,-2.143176
30,0.250000,0.345496,0.438400,-2.143182
31,0.258333,0.345502,0.438410,-2.143139
32,0.266667,0.345557,0.438330,-2.143175
33,0.275000,0.345526,0.438349,-2.143154
34,0.283333,0.345597,0.438299,-2.143175
35,0.291667,0.345523,0.438358,-2.143148
36,0.300000,0.345558,0.438372,-2.143194
37,0.308333,0.346133,0.437990,-2.143235
38,0.316667,0.345505,0.438381,-2.143154
39,0.325000,0.345504,0.438382,-2.143167
40,0.333333,0.345495,0.438392,-2.143149
41,0.341667,0.345553,0.438361,-2.143153
42,0.350000,0.345499,0.438408,-2.143160
43,0.358333,0.345551,0.438361,-2.143180
44,0.366667,0.345588,0.438297,-2.143185
45,0.375000,0.345518,0.438367,-2.143166
46,0.383333,0.345527,0.438343,-2.143160
47,0.391667,0.345562,0.438347,-2.143187
48,0.400000,0.345470,0.438403,-2.143161
49,0.408333,0.345548,0.438370,-2.143170
50,0.416667,0.345552,0.438326,-2.143173
51,0.425000,0.345538,0.438355,-2.143162
52,0.433333,0.345527,0.438369,-2.143157
53,0.441667,0.345546,0.438330,-2.143169
54,0.450000,0.345559,0.438328,-2.143150
55,0.458333,0.345566,0.438323,-2.143181
56,0.466667,0.345533,0.438368,-2.143175
57,0.475000,0.345572,0.438325,-2.143175
58,0.483333,0.345541,0.438352,-2.143156
59,0.491667,0.345605,0.438301,-2.143174
60,0.500000,0.345593,0.438322,-2.143160
61,0.508333,0.345513,0.438378,-2.143138
62,0.516667,0.345517,0.438372,-2.143145
63,0.525000,0.345567,0.438311,-2.143181
64,0.533333,0.345526,0.438373,-2.143159
65,0.541667,0.345497,0.438357,-2.143143
66,0.550000,0.345628,0.438262,-2.143188
67,0.558333,0.345560,0.438363,-2.143190
68,0.566667,0.346104,0.437999,-2.143209
